timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1482925506.153153,1.157985,0.111822,-1.654792,-5.372875,0.611760,-1.838454,0.910275,-0.111589,-0.398681,0.042710,-0.223899,0.523037
1482925506.172470,1.168240,0.045731,-1.567608,-5.345942,0.907697,-1.032012,0.919100,-0.045715,-0.391362,0.241198,-0.086733,0.358593
1482925506.191757,1.176170,-0.000319,-1.490190,-4.109366,0.162805,-0.515691,0.923140,0.000319,-0.384463,0.462544,0.131774,0.312751
1482925506.211075,1.167466,-0.036819,-1.430985,-3.473539,-0.872937,-0.640564,0.919136,0.036811,-0.392218,0.432011,0.078146,0.345078
1482925506.230393,1.149396,-0.084220,-1.363674,-4.716515,-1.214616,-0.943269,0.909283,0.084121,-0.407589,0.157757,-0.120989,0.368485
1482925506.249680,1.140228,-0.145852,-1.272512,-6.004491,-0.795477,-0.933141,0.899080,0.145336,-0.412955,-0.062583,-0.182403,0.349534
1482925506.268997,1.152240,-0.209254,-1.168612,-6.070525,-0.141857,-0.726575,0.893746,0.207730,-0.397576,-0.026935,-0.011906,0.282189
1482925506.288315,1.169151,-0.253100,-1.083800,-3.814454,-0.149762,-0.064923,0.891095,0.250406,-0.378478,0.160101,0.388895,0.178547
1482925506.307602,1.175535,-0.259096,-1.033676,-1.963271,-0.455131,1.153068,0.892091,0.256207,-0.372197,0.230397,0.700813,0.119687
1482925506.326920,1.180361,-0.243823,-0.987266,-1.913100,-0.177343,1.789005,0.897392,0.241415,-0.369334,0.071467,0.446728,0.161359
1482925506.346237,1.198732,-0.231930,-0.928859,-2.914470,0.497373,1.538496,0.906636,0.229856,-0.353805,-0.063394,0.130520,0.199159
1482925506.365524,1.233833,-0.232987,-0.852344,-4.003226,1.118663,1.171201,0.918264,0.230884,-0.321690,-0.007437,0.144788,0.238058
