timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1482925536.461821,1.745440,1.094363,-0.246120,1.222613,6.348551,4.955583,0.451637,-0.888636,0.079687,1.558853,0.927774,-0.602204
1482925536.481139,2.018829,1.187177,-0.386551,1.413705,8.043647,5.834609,0.337338,-0.927316,0.162135,1.876349,0.986804,-0.432260
1482925536.500456,2.418918,1.278027,-0.647867,0.308927,7.707633,6.727818,0.190881,-0.957448,0.216465,2.256070,1.027030,0.114749
1482925536.519744,3.009039,1.335835,-1.110550,-0.232994,7.363111,6.880828,0.030769,-0.972523,0.230763,2.613892,0.952835,0.306090
1482925536.539061,-2.588070,1.312053,-1.659639,-0.208895,8.216120,6.891222,-0.134505,-0.966712,0.217659,3.018844,0.726360,0.369764
1482925536.558379,-2.130990,1.223342,-1.968932,-0.033082,8.326905,6.388981,-0.288460,-0.940243,0.180928,3.368861,0.526082,0.522268
1482925536.577667,-1.850623,1.112665,-2.091860,0.021854,8.943739,6.304066,-0.425071,-0.896880,0.122151,3.575677,0.873382,0.479917
1482925536.596984,-1.624078,0.990243,-2.147946,-0.622027,9.255740,6.524645,-0.547708,-0.836159,0.029210,3.611310,1.089888,0.466853
1482925536.616301,-1.425590,0.866234,-2.172588,-1.288686,9.229282,6.267067,-0.640884,-0.761895,-0.093720,3.478546,1.006819,0.386180
1482925536.635588,-1.252389,0.747716,-2.177307,-1.759997,8.322239,5.646646,-0.696387,-0.679966,-0.229545,3.384435,0.744518,0.433729
1482925536.654907,-1.110145,0.640656,-2.198499,-3.946007,5.462883,4.143440,-0.718137,-0.597721,-0.356383,3.262792,0.377817,0.578428
1482925536.674224,-0.990575,0.522136,-2.300570,-8.728569,2.186868,2.501714,-0.724904,-0.498733,-0.475163,3.119781,0.044160,0.368519
1482925536.693511,-0.916905,0.358366,-2.456921,-11.884974,-0.796902,2.626797,-0.743299,-0.350744,-0.569636,2.568790,0.776649,0.631748
1482925536.712828,-0.921942,0.194372,-2.620791,-11.174029,-3.325858,1.126681,-0.781773,-0.193150,-0.592895,2.070429,1.650394,0.070345
1482925536.732147,-0.960769,0.085933,-2.770225,-8.585732,-2.815301,-0.730394,-0.816608,-0.085827,-0.570776,1.756581,1.725381,-0.882570
1482925536.751433,-1.016384,0.038983,-2.923774,-7.522919,-4.068220,-3.243257,-0.849564,-0.038973,-0.526044,2.005999,1.320611,-0.762842
1482925536.770751,-1.127926,0.047734,-3.078422,-6.308201,-7.424605,-4.843325,-0.902496,-0.047716,-0.428046,2.212872,1.388343,-0.080978
1482925536.790068,-1.290623,0.117401,3.069858,-4.562028,-9.427755,-6.439825,-0.954392,-0.117131,-0.274619,2.155942,1.721535,-0.101121
1482925536.809355,-1.452121,0.234364,2.975100,-3.027189,-9.020726,-7.116286,-0.965821,-0.232224,-0.115160,2.514864,1.879816,-0.562840
1482925536.828673,-1.614603,0.376870,2.918674,-2.346145,-9.664638,-7.793874,-0.928928,-0.368012,0.040719,3.064972,1.552771,-0.549563
1482925536.847991,-1.803996,0.546155,2.890421,-2.577661,-10.742607,-8.997832,-0.831397,-0.519406,0.197474,3.071700,1.069120,-0.247424
1482925536.867278,-2.020397,0.736234,2.915635,-2.050894,-10.033720,-10.024311,-0.667362,-0.671502,0.322044,2.797913,0.754151,-0.404505
1482925536.886595,-2.305774,0.923298,3.050970,-1.271560,-9.178896,-11.114318,-0.447475,-0.797596,0.404483,2.385417,0.433106,-0.705033
1482925536.905913,-2.747742,1.066673,-2.901523,-0.191122,-7.814895,-12.179147,-0.185365,-0.875598,0.446057,2.041619,0.321894,-0.951242
1482925536.925200,2.968752,1.082231,-2.418021,0.992248,-6.891168,-11.490013,0.080721,-0.883007,0.462366,1.923762,0.592400,-0.889566
1482925536.944518,2.541671,0.970435,-2.071283,2.257763,-6.714334,-10.225486,0.318953,-0.825132,0.466290,1.970910,0.583687,-0.596422
1482925536.963823,2.269128,0.808253,-1.918249,3.082473,-8.839461,-9.038754,0.529066,-0.723082,0.444119,1.961557,-0.075148,-0.028081
1482925536.983110,2.020377,0.639245,-1.833148,0.960958,-10.409213,-9.031957,0.722797,-0.596590,0.348777,1.357443,-0.972243,0.435914
1482925537.002428,1.777230,0.477671,-1.773691,-0.177336,-11.094092,-8.277858,0.869213,-0.459712,0.182028,0.433095,-1.248622,0.337090
1482925537.021746,1.557159,0.358126,-1.744456,-0.819347,-10.285074,-4.994513,0.936468,-0.350520,-0.012772,-0.241388,-0.769793,-0.025652
1482925537.041034,1.391031,0.294572,-1.728593,-1.492237,-6.964050,-2.194941,0.941506,-0.290330,-0.171097,-1.056275,-0.491942,0.069434
1482925537.060350,1.294089,0.269155,-1.690423,-2.406434,-3.142694,-0.078040,0.927325,-0.265917,-0.263354,-1.379573,-0.485055,-0.015151
1482925537.079669,1.251761,0.272688,-1.657148,-0.738813,-1.152788,0.859520,0.914454,-0.269321,-0.302061,-1.007431,-0.351660,-0.221226
